SUBJECT	SESSION	RUN	TRIAL	73KID	10KID	TIME	ISOLD	ISCORRECT	RT	CHANGEMIND	MEMORYRECENT	MEMORYFIRST	ISOLDCURRENT	ISCORRECTCURRENT	TOTAL1	TOTAL2	BUTTON	MISSINGDATA	trial_full	is_shared1000	is_special100	shared1000_repNum	presentation_type
3	1	1	1	46003	626	0.3994380474323406	0	1.0	1570.91433100868	0.0			0	1.0	1	0	1.0	0	1	1	0	1	new
3	1	1	2	19257	5013	0.3994843562832102	0	1.0	712.9139919998124	0.0			0	1.0	1	0	1.0	0	2	0	0	0	unknown
3	1	1	3	36386	4850	0.3995306392898783	0	1.0	589.6681779995561	0.0			0	1.0	1	0	1.0	0	3	0	0	0	unknown
3	1	1	4	44343	8823	0.3995769404573366	0	1.0	558.7335070013069	0.0			0	1.0	1	0	1.0	0	4	0	0	0	unknown
3	1	1	5	62685	9538	0.3996232200879603	0	1.0	473.76825100218406	0.0			0	1.0	1	0	1.0	0	5	0	0	0	unknown
3	1	1	6	48340	6061	0.3996695297537371	0	1.0	601.5421990014147	0.0			0	1.0	1	0	1.0	0	6	0	0	0	unknown
3	1	1	7	65141	4421	0.399715808336623	0	1.0	560.4724279983202	0.0			0	1.0	1	0	1.0	0	7	0	0	0	unknown
3	1	1	8	33348	3858	0.3997621024027466	0	1.0	478.2871249917662	0.0			0	1.0	1	0	1.0	0	8	0	0	0	unknown
3	1	1	9	33573	8124	0.3998083993792533	0	1.0	458.93502500257455	0.0			0	1.0	1	0	1.0	0	9	0	0	0	unknown
3	1	1	10	15093	4843	0.3998546992661431	0	1.0	761.8285219941754	0.0			0	1.0	1	0	1.0	0	10	0	0	0	unknown
3	1	1	11	54015	7941	0.3999009805265814	0	1.0	883.7484370014862	0.0			0	1.0	1	0	1.0	0	11	0	0	0	unknown
3	1	1	12	53207	4523	0.3999472779687494	0	1.0	784.8221519961953	0.0			0	1.0	1	0	1.0	0	12	0	0	0	unknown
3	1	1	13	64902	1070	0.4000398609787225	0	1.0	793.8177150062983	0.0			0	1.0	1	0	1.0	0	13	0	0	0	unknown
3	1	1	14	16797	9588	0.4000861629610881	0	1.0	664.8089780064765	0.0			0	1.0	1	0	1.0	0	14	0	0	0	unknown
3	1	1	15	46129	4623	0.4001324489945545	0	1.0	558.8534569978947	0.0			0	1.0	1	0	1.0	0	15	0	0	0	unknown
3	1	1	16	55355	3185	0.4001787519082427	0	1.0	512.655022990657	0.0			0	1.0	1	0	1.0	0	16	0	0	0	unknown
3	1	1	17	9188	4586	0.4002250380581244	0	1.0	757.7250619942787	0.0			0	1.0	1	0	1.0	0	17	0	0	0	unknown
3	1	1	18	47059	1009	0.4002713405061513	0	1.0	855.3858750092331	0.0			0	1.0	1	0	1.0	0	18	0	0	0	unknown
3	1	1	19	21621	8634	0.4003176310798153	0	1.0	729.9651889916275	0.0			0	1.0	1	0	1.0	0	19	0	0	0	unknown
3	1	1	20	34676	9648	0.4003638321300968	0	1.0	574.203692987794	0.0			0	1.0	1	0	1.0	0	20	0	0	0	unknown
3	1	1	21	35718	9425	0.4004101180471479	0	1.0	544.1167570097605	0.0			0	1.0	1	0	1.0	0	21	0	0	0	unknown
3	1	1	22	22658	1344	0.4004564201459288	0	1.0	644.3831539945677	0.0			0	1.0	1	0	1.0	0	22	0	0	0	unknown
3	1	1	23	37985	7441	0.4005490066483616	0	1.0	671.6996489994926	0.0			0	1.0	1	0	1.0	0	23	0	0	0	unknown
3	1	1	24	57359	3902	0.4005952948937192	0	1.0	857.5044439930934	0.0			0	1.0	1	0	1.0	0	24	0	0	0	unknown
3	1	1	25	65096	8795	0.400641598040238	0	1.0	701.5260110056261	0.0			0	1.0	1	0	1.0	0	25	0	0	0	unknown
3	1	1	26	39922	1840	0.4006878912914544	0	1.0	638.076720002573	0.0			0	1.0	1	0	1.0	0	26	0	0	0	unknown
3	1	1	27	48302	1356	0.4007341850083321	0	1.0	731.3396639947315	0.0			0	1.0	1	0	1.0	0	27	0	0	0	unknown
3	1	1	28	37591	5506	0.4007804810535162	0	1.0	645.0737470004242	0.0			0	1.0	1	0	1.0	0	28	0	0	0	unknown
3	1	1	29	48618	666	0.400826773722656	0	1.0	602.9672519944144	0.0			0	1.0	1	0	1.0	0	29	1	0	1	new
3	1	1	30	59973	8240	0.4008730599889531	0	1.0	615.0121690006927	0.0			0	1.0	1	0	1.0	0	30	0	0	0	unknown
3	1	1	31	11632	7232	0.4009193618549033	0	1.0	705.7018909981707	0.0			0	1.0	1	0	1.0	0	31	0	0	0	unknown
3	1	1	32	1398	5691	0.4009656579000875	0	1.0	553.9047730126185	0.0			0	1.0	1	0	1.0	0	32	0	0	0	unknown
3	1	1	33	38532	6661	0.4010119478916749	0	1.0	465.7316800003173	0.0			0	1.0	1	0	1.0	0	33	0	0	0	unknown
3	1	1	34	65258	2400	0.4010582396294921	0	1.0	593.061735999072	0.0			0	1.0	1	0	1.0	0	34	0	0	0	unknown
3	1	1	35	63299	2252	0.4011508307885378	0	1.0	692.324407005799	0.0			0	1.0	1	0	1.0	0	35	0	0	0	unknown
3	1	1	36	44981	612	0.4011971188010647	0	1.0	687.6469260023441	0.0			0	1.0	1	0	1.0	0	36	1	0	1	new
3	1	1	37	66004	1609	0.4012434177566319	0	1.0	641.1797210021177	0.0			0	1.0	1	0	1.0	0	37	0	0	0	unknown
3	1	1	38	4582	3579	0.4012897098436951	0	1.0	557.1128930023406	0.0			0	1.0	1	0	1.0	0	38	0	0	0	unknown
3	1	1	39	17276	1703	0.401336001814343	0	1.0	550.5132569960551	0.0			0	1.0	1	0	1.0	0	39	0	0	0	unknown
3	1	1	40	22076	9976	0.4013823065906763	0	1.0	869.428712001536	0.0			0	1.0	1	0	1.0	0	40	0	0	0	unknown
3	1	1	41	72181	5770	0.4014285935554653	0	1.0	593.1762289983453	0.0			0	1.0	1	0	1.0	0	41	0	0	0	unknown
3	1	1	42	23639	8748	0.4014748862246051	0	1.0	638.2500809995689	0.0			0	1.0	1	0	1.0	0	42	0	0	0	unknown
3	1	1	43	12018	9202	0.4015211804071441	0	1.0	685.9476780082332	0.0			0	1.0	2	0	1.0	0	43	0	0	0	unknown
3	1	1	44	63760	3123	0.4015673813410103	0	1.0	880.2495160052786	0.0			0	1.0	1	0	1.0	0	44	0	0	0	unknown
3	1	1	45	32626	436	0.4016136777354404	0	1.0	732.3857040028087	0.0			0	1.0	1	0	1.0	0	45	1	0	1	new
3	1	1	46	9188	4586	0.401706259115599	1	1.0	1276.594610986649	1.0	28.0		1	1.0	1	1	2.0	0	46	0	0	0	unknown
3	1	1	47	36914	1499	0.4017525514354929	0	1.0	966.3114369905088	0.0			0	1.0	1	0	1.0	0	47	0	0	0	unknown
3	1	1	48	11064	2872	0.4017988535342738	0	1.0	931.5696080011548	0.0			0	1.0	1	0	1.0	0	48	0	0	0	unknown
3	1	1	49	9020	9173	0.4018451392184942	0	1.0	1102.3419669945724	0.0			0	1.0	1	0	1.0	0	49	0	0	0	unknown
3	1	1	50	31426	2665	0.4018914413172751	0	1.0	855.2502929960609	0.0			0	1.0	1	0	1.0	0	50	0	0	0	unknown
3	1	1	51	62700	1045	0.4019377324730157	0	1.0	924.8285570065491	0.0			0	1.0	1	0	1.0	0	51	0	0	0	unknown
3	1	1	52	6631	1974	0.4019840207183733	0	1.0	788.7246760074049	0.0			0	1.0	1	0	1.0	0	52	0	0	0	unknown
3	1	1	53	8954	2268	0.4020303159486502	0	1.0	771.6364180087111	0.0			0	1.0	1	0	1.0	0	53	0	0	0	unknown
3	1	1	54	56177	7771	0.4020766195608302	0	1.0	1312.2277770016808	0.0			0	1.0	1	0	1.0	0	54	0	0	0	unknown
3	1	1	55	41422	6336	0.4021692024543881	0	1.0	1230.008632002864	0.0			0	1.0	1	0	1.0	0	55	0	0	0	unknown
3	1	1	56	53053	727	0.4022154948906973	0	1.0	831.8981780030299	0.0			0	1.0	1	0	1.0	0	56	1	1	1	new
3	1	1	57	4931	40	0.4022617943119257	0	1.0	974.4795470032842	0.0			0	1.0	1	0	1.0	0	57	1	0	1	new
3	1	1	58	65119	6000	0.402308085351251	0	1.0	1117.8175320092123	0.0			0	1.0	1	0	1.0	0	58	0	0	0	unknown
3	1	1	59	72130	7046	0.4023543859366327	0	1.0	1102.9627780080773	0.0			0	1.0	1	0	1.0	0	59	0	0	0	unknown
3	1	1	60	40450	1607	0.4024006770923733	0	1.0	826.2003900017589	0.0			0	1.0	1	0	1.0	0	60	0	0	0	unknown
3	1	1	61	47783	2132	0.402446971158497	0	1.0	971.6851510020205	0.0			0	1.0	1	0	1.0	0	61	0	0	0	unknown
3	1	1	62	52462	5352	0.4024932580068707	0	1.0	812.951197993243	0.0			0	1.0	1	0	1.0	0	62	0	0	0	unknown
3	1	1	63	28428	2514	0.4025395506760105	0	1.0	981.4125489938305	0.0			0	1.0	2	0	1.0	0	63	0	0	0	unknown
3	1	2	1	11222	5730	0.4041528986999765	0	1.0	555.4207749955822	0.0			0	1.0	1	0	1.0	0	64	0	0	0	unknown
3	1	2	2	43995	4135	0.4041991857811808	0	1.0	786.5228409937117	0.0			0	1.0	1	0	1.0	0	65	0	0	0	unknown
3	1	2	3	70574	5169	0.4042454893933609	0	1.0	602.2241410100833	0.0			0	1.0	1	0	1.0	0	66	0	0	0	unknown
3	1	2	4	16394	5821	0.4042917813640087	0	1.0	613.8035320036579	0.0			0	1.0	1	0	1.0	0	67	0	0	0	unknown
3	1	2	5	36907	8842	0.4043380686780437	0	1.0	680.6480119994376	0.0			0	1.0	1	0	1.0	0	68	0	0	0	unknown
3	1	2	6	43995	4135	0.4043843677500262	1	1.0	1064.4471179984976	0.0	3.0		1	1.0	0	1	2.0	0	69	0	0	0	unknown
3	1	2	7	62938	4990	0.4044306625146418	0	1.0	907.2408830106723	0.0			0	1.0	1	0	1.0	0	70	0	0	0	unknown
3	1	2	8	25075	9955	0.4044769530883058	0	1.0	878.0439020047197	0.0			0	1.0	1	0	1.0	0	71	0	0	0	unknown
3	1	2	9	44654	7331	0.4045232480857521	0	1.0	1111.0460459894966	0.0			0	1.0	1	0	1.0	0	72	0	0	0	unknown
3	1	2	10	67903	3470	0.4045695447130128	0	1.0	877.5729179906193	0.0			0	1.0	1	0	1.0	0	73	0	0	0	unknown
3	1	2	11	55827	9913	0.4046158386627212	0	1.0	561.9118150061695	0.0			0	1.0	1	0	1.0	0	74	0	0	0	unknown
3	1	2	12	20608	3207	0.4047084195772185	0	1.0	614.4953390030423	0.0			0	1.0	1	0	1.0	0	75	0	0	0	unknown
3	1	2	13	44838	5799	0.4047547143418341	0	1.0	555.7316210033605	0.0			0	1.0	1	0	1.0	0	76	0	0	0	unknown
3	1	2	14	25730	4068	0.404801009572111	0	1.0	592.3559369985014	0.0			0	1.0	1	0	1.0	0	77	0	0	0	unknown
3	1	2	15	2876	2204	0.404847310623154	0	1.0	826.5150009974604	0.0			0	1.0	1	0	1.0	0	78	0	0	0	unknown
3	1	2	16	5713	7081	0.404893604456447	0	1.0	1169.7159670002293	0.0			0	1.0	1	0	1.0	0	79	0	0	0	unknown
3	1	2	17	18826	3632	0.40493989828974	0	1.0	1027.7355090074707	0.0			0	1.0	1	0	1.0	0	80	0	0	0	unknown
3	1	2	18	34917	3444	0.4049861864186823	0	1.0	672.8781830024673	0.0			0	1.0	1	0	1.0	0	81	0	0	0	unknown
3	1	2	19	32125	2840	0.4050324901472777	0	1.0	742.2528820025037	0.0			0	1.0	1	0	1.0	0	82	0	0	0	unknown
3	1	2	20	48560	1538	0.4050787817686796	0	1.0	717.6390860113315	0.0			0	1.0	1	0	1.0	0	83	0	0	0	unknown
3	1	2	21	3821	8951	0.4051713690860196	0	1.0	670.170440003858	0.0			0	1.0	1	0	1.0	0	84	0	0	0	unknown
3	1	2	22	11868	8009	0.4052176639670506	0	1.0	748.7020789994857	0.0			0	1.0	1	0	1.0	0	85	0	0	0	unknown
3	1	2	23	41307	5772	0.4052639530273154	0	1.0	560.2435170003446	0.0			0	1.0	1	0	1.0	0	86	0	0	0	unknown
3	1	2	24	52657	5200	0.405310254311189	0	1.0	580.2649300021585	0.0			0	1.0	1	0	1.0	0	87	0	0	0	unknown
3	1	2	25	25134	7984	0.405356544884853	0	1.0	615.7728840044001	0.0			0	1.0	1	0	1.0	0	88	0	0	0	unknown
3	1	2	26	53306	9865	0.4054028398822993	0	1.0	993.0615750054129	0.0			0	1.0	1	0	1.0	0	89	0	0	0	unknown
3	1	2	27	55349	7367	0.4054490402340888	0	1.0	875.4567559954013	0.0			0	1.0	1	0	1.0	0	90	0	0	0	unknown
3	1	2	28	32626	436	0.4054953276645392	1	1.0	1179.6977740013972	0.0	45.0		1	1.0	0	1	2.0	0	91	1	0	2	easy
3	1	2	29	27752	3014	0.4055416256887838	0	1.0	1079.0259140048875	0.0			0	1.0	1	0	1.0	0	92	0	0	0	unknown
3	1	2	30	10366	3569	0.4055879204533994	0	1.0	702.9709600028582	0.0			0	1.0	1	0	1.0	0	93	0	0	0	unknown
3	1	2	31	15375	6871	0.4056805112631991	0	1.0	856.7361739987973	0.0			0	1.0	1	0	1.0	0	94	0	0	0	unknown
3	1	2	32	59168	4263	0.4057268016040325	0	1.0	602.9236070025945	0.0			0	1.0	1	0	1.0	0	95	0	0	0	unknown
3	1	2	33	18079	3694	0.4057730952044948	0	1.0	633.1275200063828	0.0			0	1.0	1	0	1.0	0	96	0	0	0	unknown
3	1	2	34	70915	5322	0.4058193870587274	0	1.0	712.6750879979227	0.0			0	1.0	1	0	1.0	0	97	0	0	0	unknown
3	1	2	35	39430	4061	0.4058656824054196	0	1.0	938.5698890109779	0.0			0	1.0	1	0	1.0	0	98	0	0	0	unknown
3	1	2	36	5809	7985	0.4059119754238054	0	1.0	1472.4428310000803	0.0			0	1.0	1	0	1.0	0	99	0	0	0	unknown
3	1	2	37	53692	6041	0.4059582718182355	0	1.0	817.345319999731	0.0			0	1.0	1	0	1.0	0	100	0	0	0	unknown
3	1	2	38	16061	6142	0.4060045649530366	0	1.0	667.5749569985783	0.0			0	1.0	1	0	1.0	0	101	0	0	0	unknown
3	1	2	39	51314	6843	0.4060508613474667	0	1.0	703.2815099955769	0.0			0	1.0	1	0	1.0	0	102	0	0	0	unknown
3	1	2	40	70074	7442	0.4060971493599936	0	1.0	657.3083810071694	0.0			0	1.0	1	0	1.0	0	103	0	0	0	unknown
3	1	2	41	60119	1108	0.406189743662253	0	1.0	780.545752000762	0.0			0	1.0	1	0	1.0	0	104	0	0	0	unknown
3	1	2	42	4053	9936	0.406236040405929	0	1.0	661.412127010408	0.0			0	1.0	1	0	1.0	0	105	0	0	0	unknown
3	1	2	43	8823	2757	0.4062823298154398	0	1.0	878.6236599989933	0.0			0	1.0	1	0	1.0	0	106	0	0	0	unknown
3	1	2	44	31894	9658	0.406328625511378	0	1.0	1106.8022510007722	0.0			0	1.0	1	0	1.0	0	107	0	0	0	unknown
3	1	2	45	70574	5169	0.4063749115448445	1	1.0	938.7374450016067	0.0	41.0		1	1.0	0	1	2.0	0	108	0	0	0	unknown
3	1	2	46	57067	3376	0.4064212082885205	0	1.0	903.072686007363	0.0			0	1.0	1	0	1.0	0	109	0	0	0	unknown
3	1	2	47	5986	7287	0.4064675051486119	0	1.0	903.7027720041805	0.0			0	1.0	1	0	1.0	0	110	0	0	0	unknown
3	1	2	48	16884	5363	0.4065138052683323	0	1.0	812.0784929924412	0.0			0	1.0	1	0	1.0	0	111	0	0	0	unknown
3	1	2	49	57209	5834	0.406560095376335	0	1.0	1403.2322009879863	0.0			0	1.0	1	0	1.0	0	112	0	0	0	unknown
3	1	2	50	46071	6448	0.4066063846694305	0	1.0	762.6861059980001	0.0			0	1.0	1	0	1.0	0	113	0	0	0	unknown
3	1	2	51	68894	4186	0.4066525879316031	0	1.0	713.9426449866733	0.0			0	1.0	1	0	1.0	0	114	0	0	0	unknown
3	1	2	52	20918	9715	0.4066988814156502	0	1.0	743.8635370053815	0.0			0	1.0	1	0	1.0	0	115	0	0	0	unknown
3	1	2	53	24357	1430	0.4067914629122242	0	1.0	662.9139550059335	0.0			0	1.0	1	0	1.0	0	116	0	0	0	unknown
3	1	2	54	57631	9621	0.4068377587245777	0	1.0	655.3485539916437	0.0			0	1.0	1	0	1.0	0	117	0	0	0	unknown
