SUBJECT	SESSION	RUN	TRIAL	73KID	10KID	TIME	ISOLD	ISCORRECT	RT	CHANGEMIND	MEMORYRECENT	MEMORYFIRST	ISOLDCURRENT	ISCORRECTCURRENT	TOTAL1	TOTAL2	BUTTON	MISSINGDATA	trial_full	is_shared1000	is_special100	shared1000_repNum	presentation_type
8	1	1	1	46003	626	0.5035589198814705	0	1.0	926.296812001965	0.0			0	1.0	1	0	1.0	0	1	1	0	1	new
8	1	1	2	57484	5013	0.5036052248906344	0	1.0	659.3042870008503	0.0			0	1.0	1	0	1.0	0	2	0	0	0	unknown
8	1	1	3	41828	4850	0.503651505918242	0	1.0	962.7856589941075	0.0			0	1.0	1	0	1.0	0	3	0	0	0	unknown
8	1	1	4	69686	8823	0.5036978119751438	0	1.0	606.46586400253	0.0			0	1.0	1	0	1.0	0	4	0	0	0	unknown
8	1	1	5	56548	9538	0.503744096844457	0	1.0	658.0563269963022	0.0			0	1.0	1	0	1.0	0	5	0	0	0	unknown
8	1	1	6	23851	6061	0.5037904024356976	0	1.0	480.49295899545535	0.0			0	1.0	1	0	1.0	0	6	0	0	0	unknown
8	1	1	7	39892	4421	0.5038366840453818	0	1.0	820.1991199966869	0.0			0	1.0	1	0	1.0	0	7	0	0	0	unknown
8	1	1	8	51242	3858	0.5038828769465908	0	1.0	547.7184010014753	0.0			0	1.0	1	0	1.0	0	8	0	0	0	unknown
8	1	1	9	37851	8124	0.50392917660065	0	1.0	603.4545700022136	0.0			0	1.0	1	0	1.0	0	9	0	0	0	unknown
8	1	1	10	11940	4843	0.5039754706667736	0	1.0	534.900586004369	0.0			0	1.0	1	0	1.0	0	10	0	0	0	unknown
8	1	1	11	56319	7941	0.5040217560017481	0	1.0	502.31742100004334	0.0			0	1.0	1	0	1.0	0	11	0	0	0	unknown
8	1	1	12	20910	4523	0.5040680492529644	0	1.0	888.5965320005198	0.0			0	1.0	1	0	1.0	0	12	0	0	0	unknown
8	1	1	13	37466	1070	0.5041606464656069	0	1.0	543.8278240035288	0.0			0	1.0	1	0	1.0	0	13	0	0	0	unknown
8	1	1	14	40489	9588	0.504206939949654	0	1.0	505.2871649968438	0.0			0	1.0	1	0	1.0	0	14	0	0	0	unknown
8	1	1	15	34259	4623	0.5042532348306848	0	1.0	666.5944470005343	0.0			0	1.0	1	0	1.0	0	15	0	0	0	unknown
8	1	1	16	21548	3185	0.504299529013224	0	1.0	577.8939969968633	0.0			0	1.0	1	0	1.0	0	16	0	0	0	unknown
8	1	1	17	40007	4586	0.5043458234285935	0	1.0	707.3177820057026	0.0			0	1.0	1	0	1.0	0	17	0	0	0	unknown
8	1	1	18	69976	1009	0.5043921188917011	0	1.0	858.8105029994039	0.0			0	1.0	1	0	1.0	0	18	0	0	0	unknown
8	1	1	19	879	8634	0.5044384088832885	0	1.0	813.2110520018614	0.0			0	1.0	1	0	1.0	0	19	0	0	0	unknown
8	1	1	20	7579	9648	0.5044847032986581	0	1.0	685.0903560043662	0.0			0	1.0	1	0	1.0	0	20	0	0	0	unknown
8	1	1	21	64882	9425	0.504530990961939	0	1.0	657.29761300463	0.0			0	1.0	1	0	1.0	0	21	0	0	0	unknown
8	1	1	22	64992	1344	0.504577292711474	0	1.0	602.8440610025427	0.0			0	1.0	1	0	1.0	0	22	0	0	0	unknown
8	1	1	23	54123	7441	0.5046698760706931	0	1.0	722.769984997285	0.0			0	1.0	1	0	1.0	0	23	0	0	0	unknown
8	1	1	24	66060	3902	0.5047161736292765	0	0.0	2402.8429649988534	0.0			0	0.0	0	1	2.0	0	24	0	0	0	unknown
8	1	1	25	72499	8795	0.5047624619910493	0	1.0	1013.2962650022818	0.0			0	1.0	1	0	1.0	0	25	0	0	0	unknown
8	1	1	26	38500	1840	0.5048087667673826	0	1.0	802.3355289988102	0.0			0	1.0	1	0	1.0	0	26	0	0	0	unknown
8	1	1	27	20279	1356	0.5048550580395385	0	1.0	1040.3284339990932	0.0			0	1.0	1	0	1.0	0	27	0	0	0	unknown
8	1	1	28	30298	5506	0.5049013536190614	0	1.0	627.9005339965806	0.0			0	1.0	1	0	1.0	0	28	0	0	0	unknown
8	1	1	29	48618	666	0.5049476391868665	0	1.0	1016.1324049986432	0.0			0	1.0	1	0	1.0	0	29	1	0	1	new
8	1	1	30	58177	8240	0.5049939398886635	0	1.0	859.5120760001009	0.0			0	1.0	1	0	1.0	0	30	0	0	0	unknown
8	1	1	31	25495	7232	0.505040228832513	0	1.0	1142.313699994702	0.0			0	1.0	1	0	1.0	0	31	0	0	0	unknown
8	1	1	32	1779	5691	0.5050865286029875	0	1.0	992.2482549955021	0.0			0	1.0	1	0	1.0	0	32	0	0	0	unknown
8	1	1	33	34944	6661	0.5051327185938134	0	1.0	809.7332760007703	0.0			0	1.0	1	0	1.0	0	33	0	0	0	unknown
8	1	1	34	8842	2400	0.5051790159195662	0	1.0	845.7902230002218	0.0			0	1.0	1	0	1.0	0	34	0	0	0	unknown
8	1	1	35	25910	2252	0.5052716080099344	0	1.0	632.5920369999949	0.0			0	1.0	1	0	1.0	0	35	0	0	0	unknown
8	1	1	36	44981	612	0.5053179021924734	0	1.0	684.9200680007925	0.0			0	1.0	1	0	1.0	0	36	1	0	1	new
8	1	1	37	72724	1609	0.5053641960257664	0	1.0	614.0388909989268	0.0			0	1.0	1	0	1.0	0	37	0	0	0	unknown
8	1	1	38	31950	3579	0.5054104824084787	0	1.0	518.8441300051636	0.0			0	1.0	1	0	1.0	0	38	0	0	0	unknown
8	1	1	39	3887	1703	0.5054567850893363	0	1.0	741.8814719931106	0.0			0	1.0	1	0	1.0	0	39	0	0	0	unknown
8	1	1	40	31577	9976	0.5055030779913067	0	1.0	702.2765369983972	0.0			0	1.0	1	0	1.0	0	40	0	0	0	unknown
8	1	1	41	14325	5770	0.5055493699619547	0	1.0	457.2001260021352	0.0			0	1.0	1	0	1.0	0	41	0	0	0	unknown
8	1	1	42	11606	8748	0.5055956670548766	0	1.0	426.28979699657066	0.0			0	1.0	1	0	1.0	0	42	0	0	0	unknown
8	1	1	43	63754	9202	0.5056419523898512	0	1.0	704.6526899939636	0.0			0	1.0	1	0	1.0	0	43	0	0	0	unknown
8	1	1	44	10903	3123	0.5056882500648499	0	1.0	628.2306089997292	0.0			0	1.0	1	0	1.0	0	44	0	0	0	unknown
8	1	1	45	32626	436	0.5057345482055097	0	1.0	645.5828149992158	0.0			0	1.0	1	0	1.0	0	45	1	0	1	new
8	1	1	46	40007	4586	0.505827136687003	1	1.0	1402.2229839974896	0.0	28.0		1	1.0	0	1	2.0	0	46	0	0	0	unknown
8	1	1	47	9735	1499	0.5058734313352033	0	1.0	702.311175999057	0.0			0	1.0	1	0	1.0	0	47	0	0	0	unknown
8	1	1	48	1057	2872	0.5059197230730205	0	1.0	1011.0986860017874	0.0			0	1.0	1	0	1.0	0	48	0	0	0	unknown
8	1	1	49	17671	9173	0.5059660215629264	0	1.0	550.1081300026271	0.0			0	1.0	1	0	1.0	0	49	0	0	0	unknown
